labels(n),type(r),labels(m)
["TranscriptionFactor"],TRANSCRIPTIONFACTORINTERACTSWITHGENE,["Gene"]
["BodyPart"],BODYPARTOVEREXPRESSESGENE,["Gene"]
["BodyPart"],BODYPARTUNDEREXPRESSESGENE,["Gene"]
["Drug"],CHEMICALBINDSGENE,["Gene"]
["Drug"],CHEMICALINCREASESEXPRESSION,["Gene"]
["Drug"],CHEMICALDECREASESEXPRESSION,["Gene"]
["Gene"],GENEREGULATESGENE,["Gene"]
["Gene"],GENEINTERACTSWITHGENE,["Gene"]
["Gene"],GENECOVARIESWITHGENE,["Gene"]
["Gene"],GENEPARTICIPATESINBIOLOGICALPROCESS,["BiologicalProcess"]
["Gene"],GENEINPATHWAY,["Pathway"]
["Gene"],GENEHASMOLECULARFUNCTION,["MolecularFunction"]
["Gene"],GENEASSOCIATEDWITHCELLULARCOMPONENT,["CellularComponent"]
["Disease"],DISEASELOCALIZESTOANATOMY,["BodyPart"]
["Drug"],DRUGINCLASS,["DrugClass"]
["Gene"],GENEASSOCIATESWITHDISEASE,["Disease"]
["Drug"],DRUGTREATSDISEASE,["Disease"]
["Drug"],DRUGCAUSESEFFECT,["Disease"]
["Symptom"],SYMPTOMMANIFESTATIONOFDISEASE,["Disease"]